City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
262,Verkhnyaya Inta,RU,2021-12-04 17:25:14,65.9811,60.3094,-27.36,93,11,3.28
263,Kuito,AO,2021-12-04 17:25:14,-12.3833,16.9333,18.25,88,100,2.02
264,Tabou,CI,2021-12-04 17:25:14,4.423,-7.3528,28.24,72,37,3.4
265,Taltal,CL,2021-12-04 17:25:14,-25.4,-70.4833,20.48,62,12,3.28
266,Saldanha,ZA,2021-12-04 17:25:15,-33.0117,17.9442,20.03,89,100,2.75
267,Ust-Koksa,RU,2021-12-04 17:25:15,50.2696,85.6108,-10.97,93,70,0.67
268,Kampong Cham,KH,2021-12-04 17:25:15,11.9934,105.4635,18.49,75,80,3.9
269,Buala,SB,2021-12-04 17:25:16,-8.145,159.5921,26.35,81,86,1.11
270,Bousso,TD,2021-12-04 17:25:16,10.4795,16.7117,31.79,21,7,2.47
271,Pangody,RU,2021-12-04 17:25:16,65.85,74.4859,-26.18,100,99,2.07
272,Houston,US,2021-12-04 17:20:27,29.7633,-95.3633,25.54,85,90,1.79
273,Gao,ML,2021-12-04 17:25:17,16.6362,1.637,29.56,10,28,4.2
274,Muyezerskiy,RU,2021-12-04 17:25:17,63.9333,31.65,-13.87,93,68,3.21
275,Batemans Bay,AU,2021-12-04 17:22:44,-35.7167,150.1833,16.17,72,100,3.93
276,Isangel,VU,2021-12-04 17:25:17,-19.55,169.2667,25.38,85,96,4.45
277,Hualmay,PE,2021-12-04 17:25:17,-11.0964,-77.6139,22.26,72,84,4.26
278,Chapayeve,UA,2021-12-04 17:25:18,49.3662,35.8749,-2.1,72,100,2.71
279,Astorga,BR,2021-12-04 17:25:18,-23.2325,-51.6656,31.13,28,5,2.11
280,Ostrovnoy,RU,2021-12-04 17:21:30,68.0531,39.5131,-14.3,95,84,2.17
281,Swan Hill,AU,2021-12-04 17:26:18,-35.3378,143.5544,11.91,70,0,4.04
282,Ambovombe,MG,2021-12-04 17:26:19,-25.1667,46.0833,24.73,84,0,2.46
283,Ola,RU,2021-12-04 17:26:19,59.5833,151.2833,-17.13,94,100,3.65
284,Landerneau,FR,2021-12-04 17:26:19,48.4525,-4.2525,8.42,78,20,7.2
285,Atar,MR,2021-12-04 17:23:14,20.5169,-13.0499,30.09,12,69,4.96
286,Bilari,IN,2021-12-04 17:26:20,28.6333,78.8,19.05,50,0,2.17
287,Ushtobe,KZ,2021-12-04 17:26:20,45.2514,77.9838,4.99,67,100,5.04
288,Kodiak,US,2021-12-04 17:23:17,57.79,-152.4072,-5.27,74,20,2.57
289,Arawa,PG,2021-12-04 17:26:20,-6.2132,155.5367,24.99,90,95,1.7
290,Luneville,FR,2021-12-04 17:26:21,48.6,6.5,7.32,92,94,8.17
291,Lovington,US,2021-12-04 17:26:21,32.944,-103.3485,13.35,47,54,0.89
292,Namibe,AO,2021-12-04 17:26:21,-15.1961,12.1522,22.45,67,46,4.93
